texto,categoria,urgencia
"Sería muy útil que mandaran un correo cuando el portal estudiantil esté listo, así no toca venir a preguntar.",Sugerencia,Baja
"Sería muy útil que mandaran un correo cuando la carnetización esté listo, así no toca venir a preguntar.",Sugerencia,Baja
Necesito con urgencia el certificado de pagos del último año. Ya lo pedí hace dos semanas y no ha llegado.,Petición,Baja
"Mediante el presente escrito elevo reclamo por certificados, solicitando solución inmediata so pena de acudir a los organismos de control.",Reclamo,Alta
"Oigan, ¿dónde puedo hacer el trámite de devoluciones? La página no lo explica bien.",Petición,Baja
Realicé el pago en línea pero el sistema no me generó el recibo. Necesito ese comprobante para continuar con mi trámite.,Petición,Baja
"Hago constar mi malestar ante la falta de respuesta oportuna en el proceso de inscripción, situación que se ha prolongado de manera injustificada.",Queja,Media
"Oigan, una sugerencia: pongan más personal para tiempos de entrega en las horas pico, siempre hay filas enormes.",Sugerencia,Baja
"Deberían mejorar la comunicación sobre devoluciones, nadie sabe bien cómo funciona.",Sugerencia,Media
Mi empleador me pide un documento de el sistema de citas para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Baja
¿Por qué no implementan una opción en línea para la carnetización? Ahorraría mucho tiempo a todos.,Sugerencia,Baja
¿Por qué no implementan una opción en línea para el sistema de citas? Ahorraría mucho tiempo a todos.,Sugerencia,Media
Solicito información sobre el sistema de pagos.,Petición,Baja
Me prometieron que la carnetización estaría resuelto en 6 días hábiles. Ya van 6 meses y el problema persiste. Voy a escalar a los organismos de control si no hay respuesta esta semana.,Reclamo,Alta
"Fui a renovar mi carnet, me dijeron que volviera en una semana, volví y me dijeron que no había sistema. Tercera vez que voy y sigo sin renovarlo.",Queja,Media
"Me permito sugerir respetuosamente la implementación de mejoras en la plataforma web, con el fin de optimizar la experiencia del usuario y reducir los tiempos de atención.",Sugerencia,Media
"Oigan, ¿dónde puedo hacer el trámite de los trámites de matrícula? La página no lo explica bien.",Petición,Baja
Ya se pasó el plazo que me dieron para resolver tiempos de entrega y siguen sin cumplir.,Reclamo,Media
"Me permito solicitar de manera formal el acceso a pagos en línea, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Media
Los adultos mayores tienen muchas dificultades con trámites académicos. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
Muy mala atención en la carnetización.,Queja,Baja
"Interpongo reclamo formal por incumplimiento en el sistema de citas, del cual adjunto pruebas documentales, y exijo respuesta en los términos legales.",Reclamo,Media
¿Cómo accedo a tiempos de entrega?,Petición,Media
"Hago constar mi malestar ante la falta de respuesta oportuna en facturación, situación que se ha prolongado de manera injustificada.",Queja,Alta
Nadie responde en pagos en línea.,Queja,Media
Llevo 7 meses reclamando por tiempos de entrega y nadie me da solución. Voy a poner una denuncia.,Reclamo,Alta
He observado que certificados tiene cuellos de botella en horas pico. Una solución sería habilitar citas virtuales para descongestionar la atención presencial.,Sugerencia,Baja
Pido información actualizada sobre el sistema de pagos.,Petición,Media
No han cumplido con la línea de atención telefónica en el plazo acordado.,Reclamo,Media
"Fui a renovar mi carnet, me dijeron que volviera en una semana, volví y me dijeron que no había sistema. Tercera vez que voy y sigo sin renovarlo.",Queja,Media
¿Por qué no implementan una opción en línea para el portal estudiantil? Ahorraría mucho tiempo a todos.,Sugerencia,Baja
El 7 de este mes realicé un pago de más de 500.000 pesos por la carnetización. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 7 veces sin respuesta.,Reclamo,Alta
Recomiendo revisar los tiempos en la renovación de documentos.,Sugerencia,Baja
"Hago constar mi malestar ante la falta de respuesta oportuna en el sistema de pagos, situación que se ha prolongado de manera injustificada.",Queja,Media
La aplicación de el sistema de pagos lleva 5 días sin funcionar. He intentado contactar soporte 5 veces y nadie responde ni por correo ni por teléfono.,Queja,Alta
"Sería muy útil que mandaran un correo cuando la plataforma web esté listo, así no toca venir a preguntar.",Sugerencia,Media
"Me dirijo respetuosamente a su despacho con el fin de solicitar los trámites de matrícula, documento necesario para adelantar un trámite ante una entidad externa.",Petición,Baja
"Necesito que alguien me explique cómo funciona el área de nómina, nadie me ha dado una respuesta clara.",Petición,Baja
Sin respuesta desde hace días sobre la línea de atención telefónica.,Queja,Media
Mi empleador me pide un documento de la renovación de documentos para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Baja
El mes pasado me hicieron un cobro que no corresponde. Quisiera que lo revisaran y si es un error lo corrijan.,Reclamo,Alta
"No puedo creer lo mal que funciona la plataforma web, es una vergüenza para la institución.",Queja,Media
El proceso es demasiado complicado y genera mucha confusión. Sería mejor simplificarlo para los usuarios.,Sugerencia,Media
"Como usuario frecuente, noto que la renovación de documentos genera muchas confusiones. Sugiero crear una guía paso a paso disponible en la página web y en físico en las instalaciones.",Sugerencia,Baja
"Me prometieron solucionar el sistema de pagos en 1 días y ya van 1 semanas, esto no puede seguir así.",Reclamo,Media
Nunca había tenido que hacer certificados y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
Muy mala atención en devoluciones.,Queja,Alta
Recomiendo revisar los tiempos en certificados.,Sugerencia,Baja
La aplicación de la renovación de documentos lleva 7 días sin funcionar. He intentado contactar soporte 7 veces y nadie responde ni por correo ni por teléfono.,Queja,Media
"Buenas, quisiera saber si es posible conseguir un certificado de la app móvil esta semana.",Petición,Baja
"Francamente la carnetización está muy mal organizado, uno pierde el día entero aquí sin resultado.",Queja,Media
"Exijo el cumplimiento de lo acordado en la plataforma web. Han transcurrido 2 meses sin respuesta, lo cual constituye un incumplimiento contractual.",Reclamo,Media
Firmé un contrato que garantizaba ciertos estándares en certificados. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Media
Propongo digitalizar facturación.,Sugerencia,Baja
Pido información actualizada sobre la app móvil.,Petición,Baja
Pésimo servicio en trámites académicos.,Queja,Alta
El 1 de este mes realicé un pago de más de 500.000 pesos por certificados. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 1 veces sin respuesta.,Reclamo,Media
Llevo esperando semanas por la línea de atención telefónica.,Queja,Alta
Nadie responde en los trámites de matrícula.,Queja,Baja
Muy mala atención en el sistema de pagos.,Queja,Alta
Presento reclamo formal por cobro indebido en el sistema de citas. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
Me prometieron que el sistema de pagos estaría resuelto en 2 días hábiles. Ya van 2 meses y el problema persiste. Voy a escalar a los organismos de control si no hay respuesta esta semana.,Reclamo,Alta
Llevo 4 semanas intentando entender el procedimiento para la carnetización. He revisado la página pero la información está desactualizada.,Petición,Baja
Respetuosamente elevo solicitud formal para que se gestione tiempos de entrega en el menor tiempo posible.,Petición,Media
Por fabor necesito información de mis tramites lo antes posible.,Petición,Baja
He observado que el sistema de pagos tiene cuellos de botella en horas pico. Una solución sería habilitar citas virtuales para descongestionar la atención presencial.,Sugerencia,Baja
"Sugiero se contemple la posibilidad de digitalizar trámites académicos, lo cual reduciría costos operativos y mejoraría la satisfacción del usuario.",Sugerencia,Media
"Llevo 2 meses con este problema de la plataforma web y nadie hace nada, es desesperante.",Queja,Media
"Me prometieron solucionar la línea de atención telefónica en 4 días y ya van 4 semanas, esto no puede seguir así.",Reclamo,Alta
"Con el ánimo de contribuir al mejoramiento institucional, propongo que se revisen los procedimientos de el área de nómina para hacerlos más eficientes.",Sugerencia,Baja
"Reclamo formalmente la prestación adecuada de devoluciones según el contrato suscrito, el cual no ha sido cumplido en sus términos.",Reclamo,Alta
Necesito orientación sobre certificados.,Petición,Media
"En mi calidad de usuario activo, solicito que se me expida constancia relacionada con pagos en línea, requerida con carácter urgente.",Petición,Media
"Exijo que me devuelvan mi plata por certificados, ya pagué y no recibí nada de lo prometido.",Reclamo,Alta
"Reclamo formalmente la prestación adecuada de el servicio técnico según el contrato suscrito, el cual no ha sido cumplido en sus términos.",Reclamo,Alta
El 7 de este mes realicé un pago de más de 500.000 pesos por facturación. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 7 veces sin respuesta.,Reclamo,Alta
